County,Route,Special Case,County Sequence,Beginning Log Mile,Ending Log Mile,Log Mile Length,Year of Traffic,Annual Average Daily Traffic,Vehicle Miles Traveled,Design Hourly Volume Percent,Directional Distribution,Vehicle - Passenger Pickups,Vehicle - Single Unit Trucks,Vehicle - Multiple Unit Trucks,ID Number,Station Number,TN-TIMES ID,% Peak Single Unit,% Peak Multi Unit,OBJECTID,Shape__Length
Bledsoe,SR028,0,1,5.8,13.74,7.94,2023,5589,44376.66,14,54,54,23,23,04SR028001,24,04000024,15.148,19.769,220,41848.5507135189
Marshall,SR270,0,1,0,1.784,1.784,2023,2764,4930.976,9,53,95,3,2,59SR270001,13,59000013,1.709,1.282,221,9442.87583812986
Bledsoe,SR028,0,1,13.74,15.39,1.65,2023,6439,10624.35,11,58,91,3,6,04SR028001,56,04000056,2.919,6.217,222,8712.64590843998
Bledsoe,SR028,0,1,15.39,21.43,6.04,2023,5257,31752.28,9,65,91,3,6,04SR028001,42,04000042,2.919,6.217,223,31833.2986006604
Bledsoe,SR028,0,1,21.43,28.96,7.53,2023,2579,19419.87,9,65,91,3,6,04SR028001,43,04000043,2.919,6.217,224,39623.0426874581
Bledsoe,02404,0,1,0,1.6,1.6,2023,3392,5427.2,10,54,96,3,1,0402404001,20,04000020,0.592,1.775,225,8371.64094761779
Williamson,SR096,0,2,10.64,11.97,1.33,2023,18066,24027.78,8,51,94,2,4,94SR096002,33,94000033,1.983,3.045,226,7088.03656575032
Williamson,SR096,0,2,11.97,13.13,1.16,2023,22797,26444.52,8,52,86,5,9,94SR096002,96,94000096,4.45,9.598,227,6080.11890097188
Williamson,SR096,0,2,13.13,14.66,1.53,2023,23552,36034.56,10,66,93,3,4,94SR096002,40,94000040,3.263,4.887,228,8097.08540967267
Polk,SR314,0,1,0,4.79,4.79,2023,1232,5901.28,8,53,97,2,1,70SR314001,33,70000033,0.752,3.759,229,25280.5538981875
Sullivan,04511,0,1,0,0.33,0.33,2002,0,0,0,0,0,0,0,8204511001,PROP,,,,230,
Sullivan,04519,0,1,0,1.73,1.73,2023,4221,7302.33,9,65,98,2,0,8204519001,11,82000011,1.756,0.783,231,9084.76127262327
Sullivan,04778,0,1,0,1.71,1.71,2023,2429,4153.59,10,65,98,2,0,8204778001,278,82000278,1.756,0.783,232,9005.08965848174
Sullivan,04781,0,1,0,0.81,0.81,2023,1840,1490.4,8,58,96,4,0,8204781001,262,82000262,0.641,1.923,233,4343.40050395698
Williamson,SR096,0,2,14.66,20.49,5.83,2023,15879,92574.57,11,65,93,3,4,94SR096002,39,94000039,3.263,4.887,234,30732.9216890952
Williamson,SR096,0,2,20.49,23.57,3.08,2023,9742,30005.36,11,65,88,3,9,94SR096002,56,94000056,2.595,5.33,235,16296.7496851877
Williamson,SR096,0,2,23.57,26.94,3.37,2023,5836,19667.32,11,65,88,3,9,94SR096002,55,94000055,2.595,5.33,236,17801.4129553264
Sullivan,04783,0,1,0,2.33,2.33,2023,1016,2367.28,9,65,98,1,1,8204783001,261,82000261,2.55,2.486,237,12316.9348355938
Sullivan,04787,0,1,0,1.76,1.76,2023,95,167.2,11,65,99,1,0,8204787001,263,82000263,2.55,2.486,238,9296.61120729417
Sullivan,04788,0,1,0,1.88,1.88,2023,687,1291.56,10,65,98,1,1,8204788001,264,82000264,2.55,2.486,239,9741.12596675353
Sullivan,04789,0,1,0,1.39,1.39,2023,3792,5270.88,9,65,97,2,1,8204789001,266,82000266,2.55,2.486,240,7319.43501263588
Sullivan,04789,0,1,1.39,2.78,1.39,2023,12563,17462.57,9,65,97,2,1,8204789001,268,82000268,2.55,2.486,241,7357.77120987629
Sullivan,04792,0,1,0,2.27,2.27,2023,5352,12149.04,10,65,96,3,1,8204792001,269,82000269,2.766,1.773,242,12100.1537930385
Sullivan,04792,0,1,2.27,6.22,3.95,2023,960,3792,9,65,97,2,1,8204792001,255,82000255,2.55,2.486,243,20893.4405157893
Sullivan,04794,0,1,0,1.16,1.16,2023,2241,2599.56,11,65,98,1,1,8204794001,271,82000271,2.55,2.486,244,6219.66265647657
Sullivan,04799,0,1,0,1.62,1.62,2023,1539,2493.18,9,65,97,2,1,8204799001,275,82000275,2.55,2.486,245,8537.73336552915
Perry,00909,0,1,0,8.26,8.26,2023,426,3518.76,9,65,96,3,1,6800909001,6,68000006,2.624,1.065,246,43598.3410483874
Marion,01127,0,1,0.408,2.23,1.822,2023,3085,5620.87,10,58,98,1,1,5801127001,64,58000064,1.917,0.958,247,9658.10265446859
Marion,02161,0,1,0,5.5,5.5,2023,1852,10186,11,65,96,3,1,5802161001,31,58000031,1.13,0,248,28870.1119003522
Madison,03059,0,1,0.613,0.72,0.107,2023,555,59.385,11,65,97,2,1,5703059001,200,57000200,2.982,1.205,249,545.966322762932
Madison,04123,0,1,0,1.69,1.69,2023,5507,9306.83,9,65,95,3,2,5704123001,252,57000252,3.695,2.213,250,8915.98549203598
Madison,04123,0,1,1.69,2.57,0.88,2023,5705,5020.4,8,65,97,2,1,5704123001,12,57000012,2.982,1.205,251,4648.1297130972
Putnam,0B286,0,1,0,1.38,1.38,2023,1304,1799.52,13,65,96,3,1,710B286001,144,71000144,2.624,1.065,252,7254.28653473527
Shelby,02840,0,1,1.79,2.8,1.01,2023,17161,17332.61,9,57,88,7,5,7902840001,127,79000127,9.542,7.028,253,5297.68346009569
Shelby,02840,0,1,2.8,4.56,1.76,2023,24412,42965.12,10,57,91,4,5,7902840001,353,79000353,6.297,4.782,254,9337.92668610296
Hardeman,03488,0,1,1.59,2.27,0.68,2023,2208,1501.44,7,65,98,1,1,3503488001,88,35000088,2.982,1.205,255,3661.17309223221
Shelby,05546,0,1,0,3.2,3.2,2023,6847,21910.4,9,58,98,1,1,7905546001,1049,79001049,2.982,1.205,256,16927.2069208248
