Feature,Count,NumMissing,PctMissing,Mean,Std,Min,Pct_25,Median,Pct_75,Max
Fuel_Elec_Ratio_Vol,41656,866,2.04,27.2812379969272,5.50976662784169,12.41,24.47,27.2,29.75,46.23
VIO_EV_Vol,39623,2899,6.82,38.9115412765313,147.09474184997,0.0,0.0,1.0,13.0,4171.0
VIO_PHEV_Vol,39623,2899,6.82,19.8211392373116,62.9562816401591,0.0,0.0,1.0,11.0,1141.0
VIO_Hybrid_Vol,39623,2899,6.82,135.059334225071,301.075510148528,0.0,2.0,15.0,108.0,3699.0
VIO_EV + Hybrid_Vol,39623,2899,6.82,193.792014738914,486.555653074006,0.0,3.0,18.0,135.0,8073.0
VIO_Total_Vol,39623,2899,6.82,6959.07265981879,10969.5649052588,1.0,336.5,1757.0,8776.0,107700.0
VIO_Tesla_Vol,39623,2899,6.82,27.3432097519117,107.627484758811,0.0,0.0,0.0,8.0,3358.0
VIO_GM_Vol,39623,2899,6.82,1460.53660752593,2223.36340177007,0.0,89.0,499.0,1854.0,24087.0
VIO_Cadillac_Vol,39623,2899,6.82,75.8324205638139,135.48139056622,0.0,2.0,14.0,82.0,1664.0
VIO_GMC_Vol,39623,2899,6.82,257.716477803296,401.357240207038,0.0,16.0,92.0,322.0,4954.0
VIO_Buick_Vol,39623,2899,6.82,100.944703833631,168.207952834135,0.0,5.0,31.0,119.0,2731.0
VIO_Chevy_Vol,39623,2899,6.82,944.065820356863,1439.28314566912,0.0,59.0,328.0,1194.0,16018.0
VIO_CAR_Vol,39623,2899,6.82,2541.05842566186,4433.85817841711,0.0,82.0,459.0,2825.5,43977.0
VIO_CROSSOVER_Vol,39623,2899,6.82,2500.57893142871,4092.87275915908,0.0,91.0,523.0,3022.0,40996.0
VIO_TRUCK_Vol,39623,2899,6.82,1904.3352850617,2868.27906568831,0.0,141.0,707.0,2417.0,39591.0
VIO_Other Segm_Vol,39623,2899,6.82,13.1000176665068,36.5690484753859,0.0,0.0,3.0,12.0,1175.0
New_Reg_2021_GM_Vol,32438,10084,23.71,60.1593193168506,98.5788764571387,1.0,6.0,22.0,74.0,2125.0
New_Reg_2021_Ford_Vol,31960,10562,24.84,45.0538798498122,75.2842928367123,1.0,5.0,17.0,56.0,1738.0
New_Reg_2020_GM_Vol,32713,9809,23.07,63.0107908171063,106.655270945502,1.0,6.0,22.0,77.0,2549.0
New_Reg_2020_Ford_Vol,32074,10448,24.57,45.6960778200411,76.8931370649529,1.0,5.0,17.0,57.0,1823.0
Intender_Projected_2022_Total_BEV_Rated 4_0+_Vol,41366,1156,2.72,96.3529468645747,87.0159598860395,2.0,27.0,82.0,116.0,347.0
Demo_Pop_Male_Pct,32749,9773,22.98,0.501888607285718,0.0730874655755924,0.0,0.475,0.496,0.522,1.0
Demo_Pop_Female_Pct,32749,9773,22.98,0.498113011084307,0.0730870342142338,0.0,0.478,0.504,0.525,1.0
Demo_Pop_Under_10yo_Pct,32749,9773,22.98,0.109827231365843,0.0567204283215359,0.0,0.081,0.111,0.138,1.0
Demo_Pop_GenZ_(10-24)_Pct,32749,9773,22.98,0.182271916699746,0.0996730703213663,0.0,0.142,0.178,0.211,1.0
Demo_Pop_Millennials_(25-44)_Pct,32749,9773,22.98,0.230141531039115,0.0867961627447743,0.0,0.191,0.231,0.27,1.0
Demo_Pop_GenX_(45-59)_Pct,32749,9773,22.98,0.203320101377141,0.0813439623789136,0.0,0.17,0.198999999999999,0.231,1.0
